,hPred,aPred,hResult,aResults
318,0,3,1,2
319,2,0,3,0
320,2,1,0,1
321,2,1,1,1
322,1,2,0,1
323,2,1,1,0
324,2,1,0,4
325,1,2,0,0
326,1,1,2,2
327,2,1,2,1
328,1,1,1,1
329,0,3,0,2
330,1,1,2,0
331,2,0,2,0
332,2,1,1,2
333,1,1,0,2
334,2,1,4,0
335,1,2,1,1
336,1,1,1,2
337,2,1,2,4
338,1,2,3,1
339,2,1,0,2
340,3,1,1,2
341,3,0,2,0
342,1,1,2,1
343,1,2,1,3
344,1,1,0,1
345,2,1,3,1
346,1,1,0,2
347,2,1,1,2
348,2,1,3,1
349,2,1,0,1
350,1,2,0,0
351,1,1,2,4
352,0,3,3,4
353,1,1,0,4
354,2,1,3,1
355,1,1,1,1
356,2,1,3,2
357,2,1,2,0
358,1,2,1,2
359,1,1,0,1
360,2,0,1,1
361,2,1,0,2
362,0,3,3,2
363,2,1,2,1
364,1,1,1,0
365,1,1,1,0
366,2,1,1,2
367,1,1,1,3
368,1,2,0,3
369,1,1,1,3
370,2,1,2,0
371,1,2,2,1
372,1,2,0,2
373,2,1,3,1
374,2,1,2,4
375,3,0,2,0
376,3,1,5,0
377,2,1,1,0
378,2,1,3,0
379,1,2,1,2
