,hGoals,hGoalsAgs,hShots,hShotsAgs,hShotsTar,hShotsAgsTar,hCorners,hCornersAgs,aGoals,aGoalsAgs,aShots,aShotsAgs,aShotsTar,aShotsAgsTar,aCorners,aCornersAgs,hGoals,hGoalsAgs,hPointsAvg,hShots,hShotsAgs,hShotsTar,hShotsAgsTar,hCorners,hCornersAgs,hGoals,hGoalsAgs,hPointsAvg,hShots,hShotsAgs,hShotsTar,hShotsAgsTar,hCorners,hCornersAgs,hELO,aELO,FTHG,FTAG
0,1.0,1.0,11.5,8.0,3.0,3.0,7.5,4.0,1.3461538461538463,1.3076923076923077,14.346153846153847,11.935897435897436,4.576923076923077,3.6923076923076925,5.833333333333333,4.884615384615385,1.25,1.25,1.25,9.75,10.5,2.75,3.5,5.75,3.5,0.8,1.2,1.0,13.0,14.8,3.0,5.4,5.4,5.4,1047.547620244682,2998.8144009635776,0,1
0,2.0384615384615383,0.7435897435897436,18.628205128205128,9.512820512820513,6.743589743589744,3.2564102564102564,7.115384615384615,3.8461538461538463,1.1794871794871795,1.2564102564102564,13.692307692307692,11.73076923076923,4.32051282051282,3.9615384615384617,6.166666666666667,4.948717948717949,1.8,1.4,1.6,15.8,17.2,5.0,5.4,6.6,6.6,1.0,0.4,2.0,9.8,14.4,4.6,3.4,5.8,5.0,4036.2445097087975,2763.732280417949,4,0
0,1.4285714285714286,1.0952380952380953,13.80952380952381,11.714285714285714,4.238095238095238,3.7142857142857144,5.571428571428571,4.714285714285714,2.0384615384615383,1.0,17.0,9.5,6.076923076923077,3.282051282051282,6.8076923076923075,4.410256410256411,1.2,1.4,0.8,10.0,11.6,3.0,3.6,4.2,6.8,1.8,1.8,1.6,16.2,8.6,5.8,3.2,5.0,3.0,1632.6415971844513,3774.196013012865,2,5
0,1.4761904761904763,1.619047619047619,12.047619047619047,11.666666666666666,3.857142857142857,4.0,5.523809523809524,4.666666666666667,2.6666666666666665,0.8461538461538461,18.73076923076923,6.615384615384615,6.987179487179487,2.4871794871794872,7.794871794871795,2.8846153846153846,1.4,2.6,0.6,11.6,15.4,5.4,6.6,2.6,7.2,3.2,0.6,2.6,19.0,6.6,7.6,3.4,7.2,2.0,1525.254433357876,4378.857624500046,3,2
0,1.4871794871794872,1.564102564102564,13.012820512820513,12.346153846153847,4.461538461538462,4.166666666666667,5.705128205128205,4.743589743589744,1.7820512820512822,1.1666666666666667,13.474358974358974,11.217948717948717,4.602564102564102,3.8076923076923075,5.833333333333333,5.038461538461538,1.4,1.6,1.4,11.0,14.4,4.0,4.2,4.8,5.4,1.2,1.2,1.6,11.0,8.0,3.4,3.2,5.0,4.6,2778.0622917939936,3088.3051808104374,3,1
0,1.2692307692307692,1.4487179487179487,12.5,11.448717948717949,3.9743589743589745,4.3076923076923075,4.833333333333333,4.782051282051282,2.1794871794871793,0.8461538461538461,16.576923076923077,10.705128205128204,6.269230769230769,4.0,7.012820512820513,4.602564102564102,0.8,1.6,0.8,14.8,10.4,3.2,4.0,6.6,4.2,1.2,1.6,1.4,13.6,16.4,5.0,5.8,6.0,6.6,2710.2269060896833,3794.1041934166437,2,2
0,0.8095238095238095,1.7619047619047619,11.666666666666666,11.476190476190476,3.4285714285714284,4.619047619047619,4.9523809523809526,6.190476190476191,1.4230769230769231,1.4743589743589745,13.602564102564102,11.692307692307692,4.282051282051282,4.358974358974359,5.3076923076923075,4.333333333333333,1.0,1.2,1.2,10.6,17.6,3.8,3.8,3.0,8.8,1.2,2.2,1.4,10.4,15.8,5.2,5.4,5.2,4.8,1267.737962784949,3081.3639714946653,0,0
0,1.3461538461538463,1.3076923076923077,14.346153846153847,11.935897435897436,4.576923076923077,3.6923076923076925,5.833333333333333,4.884615384615385,1.5063291139240507,1.5569620253164558,13.012658227848101,12.367088607594937,4.481012658227848,4.177215189873418,5.7215189873417724,4.772151898734177,1.0,1.2,1.4,11.6,15.0,3.8,5.0,5.0,6.8,1.6,1.8,1.4,11.2,15.2,4.4,5.0,4.8,6.0,3015.551931806909,2788.9421210249243,1,3
0,1.5128205128205128,1.1025641025641026,13.705128205128204,11.628205128205128,4.512820512820513,3.782051282051282,5.602564102564102,4.935897435897436,2.0632911392405062,0.7341772151898734,18.556962025316455,9.531645569620252,6.7215189873417724,3.2911392405063293,7.075949367088608,3.8354430379746836,1.2,0.8,1.6,11.8,9.6,2.8,3.4,6.8,4.4,2.2,1.2,1.6,15.4,16.4,5.0,6.2,6.4,6.6,3378.1348329865687,4060.0510948659867,2,1
0,1.1694915254237288,1.2203389830508475,10.915254237288135,14.745762711864407,3.4237288135593222,4.5423728813559325,4.423728813559322,5.745762711864407,1.5454545454545454,1.6363636363636365,11.818181818181818,12.272727272727273,3.8181818181818183,4.181818181818182,5.409090909090909,5.181818181818182,1.2,1.4,1.0,11.0,14.6,3.2,5.2,4.8,5.6,1.8,2.4,1.2,9.6,18.2,4.8,6.8,3.0,9.6,2354.5038600460553,1562.9813356109255,2,0
0,1.7820512820512822,1.1666666666666667,13.474358974358974,11.217948717948717,4.602564102564102,3.8076923076923075,5.833333333333333,5.038461538461538,0.6666666666666666,1.0,13.333333333333334,9.0,3.3333333333333335,4.333333333333333,9.0,4.666666666666667,1.0,1.4,1.4,12.6,8.4,3.4,3.6,5.2,5.4,1.0,1.2,1.0,11.2,10.6,3.0,4.2,7.0,4.0,3090.5758349705297,1037.8276942728664,0,2
0,2.6666666666666665,0.8461538461538461,18.73076923076923,6.615384615384615,6.987179487179487,2.4871794871794872,7.794871794871795,2.8846153846153846,1.2784810126582278,1.4556962025316456,12.734177215189874,11.430379746835444,4.012658227848101,4.30379746835443,4.860759493670886,4.734177215189874,3.2,1.2,2.0,20.6,6.2,7.6,3.4,8.6,2.2,0.8,2.0,0.4,17.2,11.2,3.6,4.8,6.4,4.0,4383.085046984429,2715.973454930605,8,0
0,1.3220338983050848,1.152542372881356,12.542372881355933,11.847457627118644,4.220338983050848,3.593220338983051,4.796610169491525,5.338983050847458,1.0975609756097562,1.3902439024390243,11.195121951219512,12.048780487804878,3.317073170731707,4.2439024390243905,4.853658536585366,4.926829268292683,0.8,1.6,0.8,9.6,14.8,2.8,4.8,4.6,6.2,1.0,1.6,1.0,10.6,10.6,3.4,3.4,4.4,6.0,2385.260495568068,1789.9962809299022,0,0
0,1.1794871794871795,1.2564102564102564,13.692307692307692,11.73076923076923,4.32051282051282,3.9615384615384617,6.166666666666667,4.948717948717949,1.4545454545454546,1.2727272727272727,13.681818181818182,11.863636363636363,4.2272727272727275,3.8181818181818183,5.636363636363637,4.7272727272727275,0.6,1.2,1.4,10.0,14.0,4.0,3.2,5.4,4.8,1.2,2.0,0.6,10.0,13.4,3.0,3.8,5.0,6.6,2775.563505529749,1635.0615490514751,1,1
